name	M1	M2	R1	R2	T1	T2	d						M	R	T		Lum
DV_Psc	0.7	0.49	0.68	0.51	4450	3614	13						0.7	0.68	4450		0.164471623
MU_Cas	4.66	4.57	4.19	3.67	14750	15100	1690						4.66	4.19	14750		753.7533157
V69-47_Tuc	0.876	0.859	1.315	1.162	5945	5959	4418						0.876	1.315	5945		1.9592599
YZ_Cas	2.31	1.35	2.53	1.35	9200	6700	107						2.31	2.53	9200		41.59349936
NGC188_KR_V12	1.103	1.081	1.424	1.373	5900	5875	1770						1.103	1.424	5900		2.228748858
V364_Cas	1.8	1.8	1.6	1.6	7816	7780	670						1.8	1.6	7816		8.665852178
zet_Phe	3.93	2.551	2.851	1.853	14550	11910	90						3.93	2.851	14550		330.4300349
AI_Phe	1.236	1.195	2.93	1.816	6310	5010	162						1.236	2.93	6310		12.34484911
CO_And	1.289	1.264	1.727	1.694	6140	6170	377						1.289	1.727	6140		3.84495506
V459_Cas	2.02	1.96	2.009	1.965	9140	9100	631						2.02	2.009	9140		25.54922699
2MASSJ01132817-3821024	0.612	0.445	0.596	0.445	3750	3085	39						0.612	0.596	3750		0.063716322
UV_Psc	0.975	0.76	1.11	0.83	5780	4750	68						0.975	1.11	5780		1.247355998
2MASSJ01542930+0053266	0.659	0.619	0.639	0.61	3800	3600	623						0.659	0.639	3800		0.077227008
NSVS_06507557	0.656	0.279	0.6	0.442	3960	3365	111						0.656	0.6	3960		0.080300149
V615_Per	4.075	3.179	2.291	1.903	15000	11000	2190						4.075	2.291	15000		241.0173588
V618_Per	2.332	1.558	1.636	1.318	11000	8000	2195						2.332	1.636	11000		35.54433944
V505_Per	1.269	1.251	1.287	1.266	6512	6462	59.7						1.269	1.287	6512		2.701766234
AG_Ari	2.16	2.15	2.232	2.074	10300	9800	292						2.16	2.232	10300		50.85930108
XY_Cet	1.773	1.615	1.873	1.773	7870	7620	279.3						1.773	1.873	7870		12.206962
CW_Eri	1.59	1.33	2.08	1.56	6840	6561	162						1.59	2.08	6840		8.589822412
V799_Cas	3.08	2.97	3.23	3.2	11550	11210	607						3.08	3.23	11550		168.4093075
AE_For	0.631	0.62	0.67	0.63	4100	4055	31						0.631	0.67	4100		0.11505835
V570_Per	1.449	1.35	1.5	1.36	6842	6580	121						1.449	1.5	6842		4.472474838
TV_Cet	1.34	1.23	1.47	1.21	6902	6575	144						1.34	1.47	6902		4.448028873
TZ_For	1.95	2.05	3.96	8.32	6350	5000	185						1.95	3.96	6350		23.12695106
SDSS-MEB-1	0.272	0.24	0.268	0.248	3320	3300	375						0.272	0.268	3320		0.007915075
2MASSJ03262072+0312362	0.527	0.491	0.505	0.471	3330	3270	389						0.527	0.505	3330		0.028444139
GJ_3236	0.375	0.28	0.383	0.283	3310	3241	41.1						0.375	0.383	3310		0.015971387
EY_Cep	1.523	1.498	1.463	1.468	7090	6970	300						1.523	1.463	7090		4.905764559
V1229_Tau	2.221	1.565	1.843	1.586	10025	7262	138						2.221	1.843	10025		31.11868984
V1130_Tau	1.306	1.392	1.489	1.782	6650	6625	71						1.306	1.489	6650		3.932865417
IQ_Per	3.51	1.73	2.45	1.5	12300	7670	275						3.51	2.45	12300		124.6194192
CF_Tau	1.282	1.251	2.797	2.048	5200	6000	268						1.282	2.797	5200		5.188375689
AG_Per	5.36	4.9	2.99	2.6	18200	17400	355						5.36	2.99	18200		889.7357416
SZ_Cam	14.31	10.69	8.91	6.7	30360	27244	870						14.31	8.91	30360		61178.0437
V818_Tau	1.08	0.771	0.905	0.773	5470	3977	42						1.08	0.905	5470		0.665088705
WW_Cam	1.92	1.873	1.911	1.808	8360	8240	376						1.92	1.911	8360		16.18004005
2MASSJ04463285+1901432	0.47	0.19	0.56	0.21	3320	2900	542						0.47	0.56	3320		0.034559026
2MASSJ04480963+0317480	0.567	0.532	0.552	0.532	3920	3810	346						0.567	0.552	3920		0.065261272
TYC_4749-560-1	0.845	0.839	0.848	0.833	5340	5125	148						0.845	0.848	5340		0.5303833
HP_Aur	0.958	0.807	1.05	0.821	5790	5270	197						0.958	1.05	5790		1.123895575
V1236_Tau	0.786	0.769	0.769	0.806	4200	4133	753						0.786	0.769	4200		0.166910228
CD_Tau	1.442	1.368	1.798	1.584	6200	6200	73						1.442	1.798	6200		4.332905739
AR_Aur	2.48	2.294	1.781	1.816	10950	10350	143						2.48	1.781	10950		41.36351374
EW_Ori	1.173	1.123	1.168	1.097	6070	5900	175						1.173	1.168	6070		1.679861815
2MASSJ05282082+0338327	1.375	1.329	1.83	1.73	5103	4751	280						1.375	1.83	5103		2.059859322
AS_Cam	3.3	2.5	2.6	1.98	12000	10700	480						3.3	2.6	12000		127.1466109
