name	M1	M2	R1	R2	T1	T2	d						M	R	T		Lum			Gravity		
DV_Psc	0.7	0.49	0.68	0.51	4450	3614	13				1.029411765		0.7	0.68	4450		0.164471623			5.96453E-07		3.09056E-07
MU_Cas	4.66	4.57	4.19	3.67	14750	15100	1690				1.112171838		4.66	4.19	14750		753.7533157			1.04581E-07		2.47826E-07
V69-47_Tuc	0.876	0.859	1.315	1.162	5945	5959	4418				0.666159696		0.876	1.315	5945		1.9592599			1.99595E-07		
YZ_Cas	2.31	1.35	2.53	1.35	9200	6700	107				0.913043478		2.31	2.53	9200		41.59349936			1.42189E-07		
NGC188_KR_V12	1.103	1.081	1.424	1.373	5900	5875	1770				0.774578652		1.103	1.424	5900		2.228748858			2.14315E-07		
V364_Cas	1.8	1.8	1.6	1.6	7816	7780	670				1.125		1.8	1.6	7816		8.665852178			2.77031E-07		
zet_Phe	3.93	2.551	2.851	1.853	14550	11910	90				1.378463697		3.93	2.851	14550		330.4300349			1.905E-07		
AI_Phe	1.236	1.195	2.93	1.816	6310	5010	162				0.421843003		1.236	2.93	6310		12.34484911			5.67256E-08		
CO_And	1.289	1.264	1.727	1.694	6140	6170	377				0.746381008		1.289	1.727	6140		3.84495506			1.7028E-07		
V459_Cas	2.02	1.96	2.009	1.965	9140	9100	631				1.005475361		2.02	2.009	9140		25.54922699			1.97191E-07		
2MASSJ01132817-3821024	0.612	0.445	0.596	0.445	3750	3085	39				1.026845638		0.612	0.596	3750		0.063716322			6.78821E-07		
UV_Psc	0.975	0.76	1.11	0.83	5780	4750	68				0.878378378		0.975	1.11	5780		1.247355998			3.11785E-07		
2MASSJ01542930+0053266	0.659	0.619	0.639	0.61	3800	3600	623				1.031298905		0.659	0.639	3800		0.077227008			6.35887E-07		
NSVS_06507557	0.656	0.279	0.6	0.442	3960	3365	111				1.093333333		0.656	0.6	3960		0.080300149			7.17956E-07		
V615_Per	4.075	3.179	2.291	1.903	15000	11000	2190				1.778699258		4.075	2.291	15000		241.0173588			3.05896E-07		
