zone,q,logR,logRho,logT,logP,logPgas,luminosity,x_mass_fraction_H,y_mass_fraction_He,z_mass_fraction_metals,gamma1,opacity,pp,cno,gradr,gradT,grada,actual_gradT
1,1.00000000000000000E+00,4.31751291459773000E-01,-8.96933741488087000E+00,4.23990965472647000E+00,3.41171686634781000E+00,3.37120949455442000E+00,5.85006666265389000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.31565886734362000E+00,5.29380350057531000E+00,1.57373359182598000E-28,0.00000000000000000E+00,1.33556941940217000E-01,1.33556941940217000E-01,2.23840028802649000E-01,0.00000000000000000E+00
2,9.99999999999499000E-01,4.31727218899861000E-01,-8.94262187413948000E+00,4.24400249345179000E+00,3.44158588638866000E+00,3.40237581137537000E+00,5.85006666265389000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.32576430372486000E+00,5.40529916610465000E+00,1.67358605639985000E-28,0.00000000000000000E+00,1.37659697761874000E-01,1.37659697761874000E-01,2.28590551988642000E-01,1.37659688320511000E-01
3,9.99999999999124000E-01,4.31710239216880000E-01,-8.92134593407426000E+00,4.24745521717916000E+00,3.46565192380626000E+00,3.42739840775098000E+00,5.85006666265389000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.33491714521008000E+00,5.48950048890823000E+00,1.75762024976377000E-28,0.00000000000000000E+00,1.43504689155081000E-01,1.43504689155081000E-01,2.32874855409705000E-01,1.43504680949916000E-01
4,9.99999999998749000E-01,4.31694069464785000E-01,-8.90624825883396000E+00,4.25000431057411000E+00,3.48286731602453000E+00,3.44525442728185000E+00,5.85006666265388000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.34196125088766000E+00,5.54708787758048000E+00,1.81979928398149000E-28,0.00000000000000000E+00,1.48922116688740000E-01,1.48922116688740000E-01,2.36164571275543000E-01,1.48922124907210000E-01
5,9.99999999998562000E-01,4.31686260172832000E-01,-8.89656109964014000E+00,4.25168717011501000E+00,3.49397723348989000E+00,3.45675828781156000E+00,5.85006666265388000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.34671563331641000E+00,5.58298887437610000E+00,1.86084906363998000E-28,0.00000000000000000E+00,1.51481690728684000E-01,1.51481690728684000E-01,2.38385086573757000E-01,1.51481702123328000E-01
6,9.99999999998374000E-01,4.31678622735313000E-01,-8.88255531071924000E+00,4.25418612284569000E+00,3.51012785386074000E+00,3.47345540757717000E+00,5.85006666265388000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.35389097749593000E+00,5.63345462400749000E+00,1.92184194989127000E-28,0.00000000000000000E+00,1.53933989293995000E-01,1.53933989293995000E-01,2.41740501976387000E-01,1.53933993864948000E-01
7,9.99999999997999000E-01,4.31663831463431000E-01,-8.85923767055978000E+00,4.25851035188925000E+00,3.53723267157136000E+00,3.50141386635163000E+00,5.85006666265388000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.36647455767539000E+00,5.71408403470725000E+00,2.02785339312102000E-28,0.00000000000000000E+00,1.58565260694451000E-01,1.58565260694451000E-01,2.47655435707956000E-01,1.58565235017959000E-01
8,9.99999999997382000E-01,4.31640757057316000E-01,-8.83887364742513000E+00,4.26242911910454000E+00,3.56108820323643000E+00,3.52596555183669000E+00,5.85006666265388000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.37791338776700000E+00,5.78204389604051000E+00,2.12520922126747000E-28,0.00000000000000000E+00,1.65565878636255000E-01,1.65565878636255000E-01,2.53066076738323000E-01,1.65565866786780000E-01
9,9.99999999997074000E-01,4.31629747049173000E-01,-8.82598507354974000E+00,4.26499563014865000E+00,3.57629518277845000E+00,3.54158616598622000E+00,5.85006666265388000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.38547054417390000E+00,5.82313028844747000E+00,2.18922795247341000E-28,0.00000000000000000E+00,1.68788649018362000E-01,1.68788649018362000E-01,2.56634138062601000E-01,1.68788666395498000E-01
10,9.99999999996765000E-01,4.31619058183615000E-01,-8.80757918750253000E+00,4.26877650139298000E+00,3.59815369240271000E+00,3.56400035749980000E+00,5.85006666265388000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.39674928405675000E+00,5.87914336078464000E+00,2.28400955476679000E-28,0.00000000000000000E+00,1.71803942828356000E-01,1.71803942828356000E-01,2.61912882571649000E-01,1.71803967041451000E-01
11,9.99999999996148000E-01,4.31598565327226000E-01,-8.78454315000267000E+00,4.27365880659092000E+00,3.62569069369671000E+00,3.59218603418414000E+00,5.85006666265387000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.41143233814137000E+00,5.94627218940217000E+00,2.40843702048985000E-28,0.00000000000000000E+00,1.77357340285421000E-01,1.77357340285421000E-01,2.68686185382971000E-01,1.77357342513349000E-01
12,9.99999999995531000E-01,4.31579128456163000E-01,-8.76304327334839000E+00,4.27838045170891000E+00,3.65158979880556000E+00,3.61864267794184000E+00,5.85006666265387000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.42547581018820000E+00,6.00498272504506000E+00,2.53067546311829000E-28,0.00000000000000000E+00,1.82361439601551000E-01,1.82361439601551000E-01,2.75082393878119000E-01,1.82361429117204000E-01
13,9.99999999994913000E-01,4.31560627959692000E-01,-8.74288813949829000E+00,4.28294685068230000E+00,3.67603500097460000E+00,3.64357121020520000E+00,5.85006666265387000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.43862733111408000E+00,6.05633393510987000E+00,2.65089679752331000E-28,0.00000000000000000E+00,1.86849046445892000E-01,1.86849046445892000E-01,2.81012015779336000E-01,1.86849035644328000E-01
14,9.99999999994296000E-01,4.31542964226519000E-01,-8.72391892396090000E+00,4.28736387815181000E+00,3.69918093256357000E+00,3.66713942967903000E+00,5.85006666265387000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.45084601288584000E+00,6.10121046910815000E+00,2.76925674551045000E-28,0.00000000000000000E+00,1.90877393872445000E-01,1.90877393872445000E-01,2.86464934967434000E-01,1.90877383036757000E-01
15,9.99999999993679000E-01,4.31526053388021000E-01,-8.71037712896169000E+00,4.29057346679645000E+00,3.71576771713241000E+00,3.68401189534237000E+00,5.85006666265387000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.45939353466577000E+00,6.13157220983021000E+00,2.85697131606246000E-28,0.00000000000000000E+00,1.94517531871046000E-01,1.94517531871046000E-01,2.90244729450200000E-01,1.94517531516188000E-01
16,9.99999999993370000E-01,4.31517856839527000E-01,-8.70166274171435000E+00,4.29267597703452000E+00,3.72648456998023000E+00,3.69490324429517000E+00,5.85006666265386000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.46484220018856000E+00,6.14978627331046000E+00,2.91488100242360000E-28,0.00000000000000000E+00,1.96196853118930000E-01,1.96196853118930000E-01,2.92636574421563000E-01,1.96196854615986000E-01
17,9.99999999993062000E-01,4.31509822670371000E-01,-8.68892345456030000E+00,4.29580104637043000E+00,3.74221013580115000E+00,3.71087111833898000E+00,5.85006666265386000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.47270308386472000E+00,6.17446263901672000E+00,3.00165620839741000E-28,0.00000000000000000E+00,1.97768043625035000E-01,1.97768043625035000E-01,2.96060687176124000E-01,1.97768046852644000E-01
18,9.99999999992437000E-01,4.31494020005475000E-01,-8.67259824017746000E+00,4.29985543872722000E+00,3.76241431632755000E+00,3.73137214298968000E+00,5.85006666265386000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.48240721368684000E+00,6.20413467995549000E+00,3.11664436398176000E-28,0.00000000000000000E+00,2.00705675803307000E-01,2.00705675803307000E-01,3.00245560483119000E-01,2.00705696099011000E-01
19,9.99999999991812000E-01,4.31478798708747000E-01,-8.65705484336444000E+00,4.30378149588552000E+00,3.78172284460280000E+00,3.75094654068316000E+00,5.85006666265386000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.49120638485510000E+00,6.22959167241040000E+00,3.23021698973463000E-28,0.00000000000000000E+00,2.03364889018689000E-01,2.03364889018689000E-01,3.04002412104185000E-01,2.03364909159035000E-01
20,9.99999999991187000E-01,4.31464111031555000E-01,-8.64222183380518000E+00,4.30758527064013000E+00,3.80021179227092000E+00,3.76967493796685000E+00,5.85006666265385000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.49915685719821000E+00,6.25169952271011000E+00,3.34245622436484000E-28,0.00000000000000000E+00,2.05762123031441000E-01,2.05762123031441000E-01,3.07374399376509000E-01,2.05762111774579000E-01
21,9.99999999990562000E-01,4.31449915115098000E-01,-8.62121189069298000E+00,4.31310420908403000E+00,3.82655157330074000E+00,3.79632370092317000E+00,5.85006666265385000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.50971369528400000E+00,6.27860361791133000E+00,3.50814187195815000E-28,0.00000000000000000E+00,2.07912480737122000E-01,2.07912480737122000E-01,3.11840969147388000E-01,2.07912444729490000E-01
22,9.99999999989312000E-01,4.31422860250604000E-01,-8.60140940491034000E+00,4.31832335466987000E+00,3.85139080982347000E+00,3.82144717999450000E+00,5.85006666265384000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.51863362907540000E+00,6.30543483708991000E+00,3.67181726265057000E-28,0.00000000000000000E+00,2.11750526158962000E-01,2.11750526158962000E-01,3.15655436826517000E-01,2.11750516937295000E-01
