zone	q	logR	logRho	logT	logP	logPgas	luminosity	x_mass_fraction_H	y_mass_fraction_He	z_mass_fraction_metals	gamma1	opacity	pp	cno	gradr	gradT	grada	actual_gradT
1	1.00E+00	4.32E-01	-8.97E+00	4.24E+00	3.41E+00	3.37E+00	5.85E+02	7.00E-01	2.80E-01	2.00E-02	1.32E+00	5.29E+00	1.57E-28	0.00E+00	1.34E-01	1.34E-01	2.24E-01	0.00E+00
2	1.00E+00	4.32E-01	-8.94E+00	4.24E+00	3.44E+00	3.40E+00	5.85E+02	7.00E-01	2.80E-01	2.00E-02	1.33E+00	5.41E+00	1.67E-28	0.00E+00	1.38E-01	1.38E-01	2.29E-01	1.38E-01
3	1.00E+00	4.32E-01	-8.92E+00	4.25E+00	3.47E+00	3.43E+00	5.85E+02	7.00E-01	2.80E-01	2.00E-02	1.33E+00	5.49E+00	1.76E-28	0.00E+00	1.44E-01	1.44E-01	2.33E-01	1.44E-01
4	1.00E+00	4.32E-01	-8.91E+00	4.25E+00	3.48E+00	3.45E+00	5.85E+02	7.00E-01	2.80E-01	2.00E-02	1.34E+00	5.55E+00	1.82E-28	0.00E+00	1.49E-01	1.49E-01	2.36E-01	1.49E-01
5	1.00E+00	4.32E-01	-8.90E+00	4.25E+00	3.49E+00	3.46E+00	5.85E+02	7.00E-01	2.80E-01	2.00E-02	1.35E+00	5.58E+00	1.86E-28	0.00E+00	1.51E-01	1.51E-01	2.38E-01	1.51E-01
6	1.00E+00	4.32E-01	-8.88E+00	4.25E+00	3.51E+00	3.47E+00	5.85E+02	7.00E-01	2.80E-01	2.00E-02	1.35E+00	5.63E+00	1.92E-28	0.00E+00	1.54E-01	1.54E-01	2.42E-01	1.54E-01
7	1.00E+00	4.32E-01	-8.86E+00	4.26E+00	3.54E+00	3.50E+00	5.85E+02	7.00E-01	2.80E-01	2.00E-02	1.37E+00	5.71E+00	2.03E-28	0.00E+00	1.59E-01	1.59E-01	2.48E-01	1.59E-01
8	1.00E+00	4.32E-01	-8.84E+00	4.26E+00	3.56E+00	3.53E+00	5.85E+02	7.00E-01	2.80E-01	2.00E-02	1.38E+00	5.78E+00	2.13E-28	0.00E+00	1.66E-01	1.66E-01	2.53E-01	1.66E-01
9	1.00E+00	4.32E-01	-8.83E+00	4.26E+00	3.58E+00	3.54E+00	5.85E+02	7.00E-01	2.80E-01	2.00E-02	1.39E+00	5.82E+00	2.19E-28	0.00E+00	1.69E-01	1.69E-01	2.57E-01	1.69E-01
10	1.00E+00	4.32E-01	-8.81E+00	4.27E+00	3.60E+00	3.56E+00	5.85E+02	7.00E-01	2.80E-01	2.00E-02	1.40E+00	5.88E+00	2.28E-28	0.00E+00	1.72E-01	1.72E-01	2.62E-01	1.72E-01
11	1.00E+00	4.32E-01	-8.78E+00	4.27E+00	3.63E+00	3.59E+00	5.85E+02	7.00E-01	2.80E-01	2.00E-02	1.41E+00	5.95E+00	2.41E-28	0.00E+00	1.77E-01	1.77E-01	2.69E-01	1.77E-01
12	1.00E+00	4.32E-01	-8.76E+00	4.28E+00	3.65E+00	3.62E+00	5.85E+02	7.00E-01	2.80E-01	2.00E-02	1.43E+00	6.00E+00	2.53E-28	0.00E+00	1.82E-01	1.82E-01	2.75E-01	1.82E-01
13	1.00E+00	4.32E-01	-8.74E+00	4.28E+00	3.68E+00	3.64E+00	5.85E+02	7.00E-01	2.80E-01	2.00E-02	1.44E+00	6.06E+00	2.65E-28	0.00E+00	1.87E-01	1.87E-01	2.81E-01	1.87E-01
14	1.00E+00	4.32E-01	-8.72E+00	4.29E+00	3.70E+00	3.67E+00	5.85E+02	7.00E-01	2.80E-01	2.00E-02	1.45E+00	6.10E+00	2.77E-28	0.00E+00	1.91E-01	1.91E-01	2.86E-01	1.91E-01
15	1.00E+00	4.32E-01	-8.71E+00	4.29E+00	3.72E+00	3.68E+00	5.85E+02	7.00E-01	2.80E-01	2.00E-02	1.46E+00	6.13E+00	2.86E-28	0.00E+00	1.95E-01	1.95E-01	2.90E-01	1.95E-01
16	1.00E+00	4.32E-01	-8.70E+00	4.29E+00	3.73E+00	3.69E+00	5.85E+02	7.00E-01	2.80E-01	2.00E-02	1.46E+00	6.15E+00	2.91E-28	0.00E+00	1.96E-01	1.96E-01	2.93E-01	1.96E-01
17	1.00E+00	4.32E-01	-8.69E+00	4.30E+00	3.74E+00	3.71E+00	5.85E+02	7.00E-01	2.80E-01	2.00E-02	1.47E+00	6.17E+00	3.00E-28	0.00E+00	1.98E-01	1.98E-01	2.96E-01	1.98E-01
18	1.00E+00	4.31E-01	-8.67E+00	4.30E+00	3.76E+00	3.73E+00	5.85E+02	7.00E-01	2.80E-01	2.00E-02	1.48E+00	6.20E+00	3.12E-28	0.00E+00	2.01E-01	2.01E-01	3.00E-01	2.01E-01
19	1.00E+00	4.31E-01	-8.66E+00	4.30E+00	3.78E+00	3.75E+00	5.85E+02	7.00E-01	2.80E-01	2.00E-02	1.49E+00	6.23E+00	3.23E-28	0.00E+00	2.03E-01	2.03E-01	3.04E-01	2.03E-01
20	1.00E+00	4.31E-01	-8.64E+00	4.31E+00	3.80E+00	3.77E+00	5.85E+02	7.00E-01	2.80E-01	2.00E-02	1.50E+00	6.25E+00	3.34E-28	0.00E+00	2.06E-01	2.06E-01	3.07E-01	2.06E-01
21	1.00E+00	4.31E-01	-8.62E+00	4.31E+00	3.83E+00	3.80E+00	5.85E+02	7.00E-01	2.80E-01	2.00E-02	1.51E+00	6.28E+00	3.51E-28	0.00E+00	2.08E-01	2.08E-01	3.12E-01	2.08E-01
