names,location,max mag,min mag,period
V0594 Vir *,144515.0+000249 ,17.41,( 0.04   *),0.00138
V0499 Ser *,160043.6+074803 ,17.41,( 0.18   *),0.00138
CX    Boo  ,142439.1+091722 ,14.3,-0.1,0.0014
V0541 Hya *,100041.8-115135 ,15.26,( 0.02   *),0.001574
QQ    Vir  ,132748.6+095451 ,13.45,-0.05,0.0016
V1211 Her *,164214.2+425234 ,15.94,( 0.02   *),0.0016
EP    Psc  ,230622.4+020906 ,16.23,-0.04,0.00166
V0366 Dra *,171722.0+580559 ,16.91,-0.05,0.0016632
V1078 Her  ,161446.9+422736 ,14.14,-0.09,0.00167
KN    Boo *,142138.2+075320 ,15.1,-0.02,0.00167
DF    Cap  ,203641.3-191500 ,15.42,-0.05,0.001701
V0551 Hya *,120054.6-272445 ,14.41,( 0.04   *),0.001723
BI    Ari *,015727.9+182740 ,15.3,-0.04,0.001901
V0359 UMa *,135120.2+545743 ,15.5,( 0.10   *),0.002421
LV    Cnc *,091945.3+085710 ,18.85,19.05,0.003
V0405 Aur  ,055759.3+535345 ,14.6,-0.12,0.00315723
HM    Cnc  ,080623.0+152732 ,21.2,-1.08,0.0037
V0585 Peg *,231521.5+290501 ,11.8,-0.13,0.0041226
DW    Lyn  ,070709.7+603850 ,14.7,-0.03,0.0042
V1835 Ori  ,045515.2+130530 ,17.2,( 0.10   *),0.00433
V0349 Aqr *,223843.8+010821 ,18,18.5,0.0046725
V0988 Cas  ,020040.2+583137 ,8.54,-0.02,0.00528
HK    Cet *,014721.8-215651 ,14.85,( 0.15   *),0.00535
V0515 And  ,005519.9+461257 ,14.7,-0.3,0.00556
V1033 Cas  ,002257.6+614108 ,16.4,16.9,0.0066
V0355 UMa *,133941.2+484727 ,17.98,18.3,0.00743
CW    Boo  ,145832.7+100819 ,15.9,( 0.25 :  ),0.00769
MM    Aqr  ,223312.3-200222 ,10.09,-0.01,0.008
V0816 Cen *,113737.0-464235 ,7.996,8.02,0.0084306
V0439 Vir *,130110.5+010740 ,16.26,( 0.15   *),0.0086
gam   Equ *,211020.5+100754 ,4.58,4.77,0.00868
LW    Lib  ,143220.8-122248 ,16.15,( 0.14   *),0.0106
HW    Aqr  ,235122.2-240813 ,15.52,-0.2,0.0115
V0409 Peg  ,234953.5+130613 ,15.9,( 0.03   *),0.012
AM    CVn *,123454.6+373743 ,14.1,14.18,0.01216609
QU    TrA  ,154754.6-623406 ,20.42,-0.31,0.0126
EQ    Lyn *,074532.0+453832 ,18.3,( 0.15   *),0.01424
V1323 Her *,180339.7+401220 ,17.1,( 0.9    *),0.0175985
YZ    LMi *,092638.7+362402 ,19.2,20.2,0.01966
V0752 Per *,013615.7+541407 ,13.3,-0.04,0.0198
V0678 Per  ,020930.3+575738 ,8.71,-0.02,0.0199
V0624 Tau *,034343.2+242228 ,8.23,8.25,0.0205
V0376 Car *,085658.4-591346 ,4.91,4.96,0.0208
V1209 Sco  ,165429.3-415546 ,14.33,-0.02,0.024
V0409 And  ,232715.8+400124 ,14.1,-0.15,0.02477
V1649 Ori  ,052331.1+051923 ,6.34,( 0.01   b),0.0259
V1080 Her  ,163627.8+141136 ,9.83,9.84,0.0262
iot   Boo  ,141609.9+512202 ,4.73,4.78,0.027
V1340 Tau  ,044952.3+175639 ,16.3,-0.05,0.028
V1117 Cas  ,013251.2+604533 ,15.76,15.78,0.0282
V0377 Cas *,001914.3+594218 ,7.78,7.83,0.03
gam   CrB *,154244.6+261744 ,3.8,3.86,0.03
V1644 Cyg  ,201432.0+364823 ,4.94,4.97,0.031
V0650 Tau *,034726.8+234042 ,7.76,-0.03,0.031
MR    Dra  ,170425.6+524907 ,8.21,-0.01,0.032
V1203 Sco  ,165414.1-415358 ,14.69,-0.02,0.032
V0534 Tau *,034703.6+244912 ,8.26,8.3,0.032
V2454 Cyg  ,212346.4+462600 ,17.41,-0.06,0.033
V0921 Mon  ,065808.1-071746 ,11.13,11.15,0.0337062
V0342 Pav  ,204106.8-613532 ,8.4,-0.03,0.034
V0461 Per *,032419.2+491317 ,8.98,-0.01,0.035
khi   Cen  ,140602.8-411047 ,4.15,-0.02,0.035
UV    Ari *,024457.6+122645 ,5.18,5.22,0.0355
V0696 Tau *,042036.3+150544 ,5.22,5.28,0.036
V2811 Oph  ,182842.9+065125 ,10.4,-0.01,0.03634
V2803 Oph  ,182504.2+062555 ,10,-0.01,0.03658
LV    UMa  ,093245.7+493806 ,10.7,-0.03,0.037
V0459 Per *,032158.6+491254 ,9.14,-0.01,0.037
BR    Cnc *,083740.7+193106 ,8.26,-0.02,0.038
BN    Cnc *,084039.2+191342 ,7.8,-0.03,0.0388205
BL    Cam  ,034719.8+632243 ,12.92,13.25,0.0390976
IZ    Cnc  ,080700.4+151100 ,15.4,( 0.24   *),     0.04        :  
CN    Boo  ,141604.1+185442 ,6.24,( 0.03 :  ),     0.04        :  
V1093 Her *,171803.9+423413 ,13.97,-0.02,0.0408
eps   Cep *,221502.2+570237 ,4.15,4.21,0.041242
V0480 Tau *,045122.5+185024 ,5.09,5.13,0.042
V1205 Sco  ,165415.7-415140 ,13.45,-0.04,0.042
V0551 Ser  ,183029.0+054838 ,12.8,-0.01,0.04203
PX    UMa *,091544.9+624832 ,10.01,10.06,0.0422
V1790 Ori  ,054024.3-004617 ,10.63,( 0.01   b),0.0425
HU    Psc  ,014235.8+101440 ,7.57,-0.02,0.0435787
IK    Peg *,212626.7+192232 ,6.07,-0.03,0.044
V0510 Peg *,221338.6+185410 ,8.27,( 0.02   b),0.0441427
AR    Tri  ,013442.6+302528 ,10.6,10.63,0.045
DK    Cap *,213513.3-133323 ,12.9,-0.01,0.0457
LT    Cnc *,091025.4+120827 ,13.9,-0.02,0.0458
V1836 Ori  ,045516.4+125410 ,16,( 0.08   *),0.046
V2447 Cyg  ,212329.6+462305 ,19.55,-0.34,0.046
OV    Boo *,150722.4+523039 ,18.2,19.6,0.04625829
V0549 Ser  ,182917.7+053919 ,10.8,-0.01,0.04683
V0647 Tau *,034719.3+240821 ,8.25,8.3,0.047
V2810 Oph  ,182833.9+065315 ,10,-0.01,0.04723
NW    Com *,131247.4+265252 ,8.43,8.48,0.047852
V1078 Cas  ,011751.4+581524 ,15.4,15.47,0.048419
V0475 Peg  ,215433.5+143205 ,9.21,-0.03,0.048622
FQ    Boo  ,134944.2+082431 ,6.59,( 0.02   b),0.049
V2444 Cyg  ,212321.7+462512 ,15.01,-0.02,0.049
V1728 Aql  ,185105.4-031540 ,6.9,-0.02,0.049051
AZ    Phe  ,005003.8-432342 ,6.47,-0.015,0.0492
tet   Tuc *,003323.4-711558 ,6.06,6.15,0.049308
V0922 Sco *,170253.8-382737 ,7.45,-0.1,0.05
FT    Vir  ,122751.5-043655 ,6.2,6.24,0.05
TY    For  ,023013.7-251111 ,6.49,6.51,0.05
V2503 Cyg  ,193721.5+462434 ,11.09,-0.02,     0.05        :  
V2501 Cyg  ,193658.2+462024 ,12.03,12.09,     0.05        :  
V0565 Peg  ,230507.9+341723 ,20.9,( 0.2    *),     0.05        :  
EE    Lyn  ,081450.3+484916 ,9.12,9.14,     0.05        :  
V1063 Cen  ,144126.5-354738 ,10.71,-0.02,0.05
rho 1 Sgr  ,192140.4-175050 ,3.9,3.94,0.05
V1183 Cas *,230237.4+593618 ,7.36,7.42,0.050571
V0339 Cam *,041945.1+555736 ,12.35,12.42,0.0506318
BS    Cnc *,083909.1+193533 ,8.5,-0.02,0.051
V1209 Her  ,164106.8+404226 ,13.8,14.5,0.0512975
AU    CrB  ,161331.7+323443 ,12.3,12.5,0.05172
V2451 Cyg  ,212335.9+462411 ,15.03,-0.03,0.052
V0386 Per  ,035803.1+344850 ,6.5,6.58,0.052
V1511 Sco  ,173448.5-323721 ,12.83,-0.08,0.052565
MP    UMa  ,112037.7+392101 ,12.06,12.19,     0.0526      :  
BX    Cnc *,084206.5+192441 ,7.96,-0.02,0.053
omi   Ser *,174124.9-125231 ,4.26,-0.01,0.053
V1745 Cyg  ,193729.9+293654 ,7.3,7.34,0.0534
V2808 Oph  ,182740.9+070833 ,11.4,-0.02,0.05363
V0419 And *,020902.3+393532 ,9.14,-0.04,0.054
V0483 Tau *,041957.7+140207 ,5.55,5.59,0.054
AA    LMi  ,094753.0+331702 ,11.4,-0.04,0.0542
tau   Peg *,232038.2+234425 ,4.6,-0.02,0.05433
SX    Phe *,234632.9-413455 ,6.76,7.53,0.054964438
SU    Crt *,113251.6-120206 ,8.62,8.65,0.055
V0693 Pup  ,081042.2-124939 ,13.16,13.2,0.055
V2453 Cyg  ,212340.1+462356 ,16.14,-0.01,0.055
FM    Com *,121902.0+260030 ,6.4,6.48,0.0551
OS    Gem *,075255.7+274448 ,9.53,-0.035,0.0553
